Perf.,Cost,Query,Type
14632,613643,59,ONLINE/THETA-0.0
19107,1379373,60,ONLINE/THETA-0.0
22533,1434260,61,ONLINE/THETA-0.0
19052,286221,62,ONLINE/THETA-0.0
14853,493650,68,ONLINE/THETA-0.0
20302,1269443,69,ONLINE/THETA-0.0
46276,1425213,70,ONLINE/THETA-0.0
25264,1798767,71,ONLINE/THETA-0.0
11699,413046,73,ONLINE/THETA-0.0
31053,2263455,74,ONLINE/THETA-0.0
48175,4352803,75,ONLINE/THETA-0.0
13641,901664,76,ONLINE/THETA-0.0
160113,7938448,14b,ONLINE/THETA-0.0
20542,1081508,15,ONLINE/THETA-0.0
22879,1211399,16,ONLINE/THETA-0.0
32925,1539552,17,ONLINE/THETA-0.0
24188,1178304,18,ONLINE/THETA-0.0
18489,732038,19,ONLINE/THETA-0.0
17929,799841,20,ONLINE/THETA-0.0
9175,101962,21,ONLINE/THETA-0.0
8927,208008,22,ONLINE/THETA-0.0
82539,4572464,23a,ONLINE/THETA-0.0
76897,5321922,23b,ONLINE/THETA-0.0
27970,772767,24a,ONLINE/THETA-0.0
25939,713316,24b,ONLINE/THETA-0.0
26642,1491901,25,ONLINE/THETA-0.0
18498,893023,26,ONLINE/THETA-0.0
14462,536403,27,ONLINE/THETA-0.0
19426,1506710,28,ONLINE/THETA-0.0
29098,1490973,29,ONLINE/THETA-0.0
14815,724413,30,ONLINE/THETA-0.0
38294,2531415,31,ONLINE/THETA-0.0
15523,749934,32,ONLINE/THETA-0.0
22802,1463349,33,ONLINE/THETA-0.0
13745,461073,34,ONLINE/THETA-0.0
22731,1276763,35,ONLINE/THETA-0.0
19260,683477,36,ONLINE/THETA-0.0
9071,314786,37,ONLINE/THETA-0.0
24874,1517511,38,ONLINE/THETA-0.0
26535,467912,39a,ONLINE/THETA-0.0
25363,504282,39b,ONLINE/THETA-0.0
18680,705279,40,ONLINE/THETA-0.0
2074,1316,41,ONLINE/THETA-0.0
9095,362072,42,ONLINE/THETA-0.0
10259,331082,43,ONLINE/THETA-0.0
14313,259687,44,ONLINE/THETA-0.0
15959,650981,45,ONLINE/THETA-0.0
14977,557771,46,ONLINE/THETA-0.0
36402,1464651,47,ONLINE/THETA-0.0
14988,652720,48,ONLINE/THETA-0.0
29940,2607631,49,ONLINE/THETA-0.0
70337,4008023,88,ONLINE/THETA-0.0
14082,469112,90,ONLINE/THETA-0.0
13605,717357,01,ONLINE/THETA-0.0
15799,570382,02,ONLINE/THETA-0.0
12162,387774,63,ONLINE/THETA-0.0
49937,1777284,64,ONLINE/THETA-0.0
21723,1596932,65,ONLINE/THETA-0.0
30097,911871,66,ONLINE/THETA-0.0
50267,2325920,67,ONLINE/THETA-0.0
13442,654332,03,ONLINE/THETA-0.0
65691,6631372,04,ONLINE/THETA-0.0
28127,2413143,05,ONLINE/THETA-0.0
14853,617271,06,ONLINE/THETA-0.0
22519,1017295,07,ONLINE/THETA-0.0
10350,376220,08,ONLINE/THETA-0.0
24477,2385563,09,ONLINE/THETA-0.0
17748,1110387,10,ONLINE/THETA-0.0
40799,3557600,11,ONLINE/THETA-0.0
11837,466106,12,ONLINE/THETA-0.0
13316,430094,13,ONLINE/THETA-0.0
115658,6917231,14a,ONLINE/THETA-0.0
42522,2904379,77,ONLINE/THETA-0.0
54127,4935747,78,ONLINE/THETA-0.0
41312,853702,79,ONLINE/THETA-0.0
41508,3156749,80,ONLINE/THETA-0.0
15943,817270,81,ONLINE/THETA-0.0
10340,346806,82,ONLINE/THETA-0.0
20208,1434982,83,ONLINE/THETA-0.0
9047,205847,84,ONLINE/THETA-0.0
15054,624676,85,ONLINE/THETA-0.0
10021,362748,86,ONLINE/THETA-0.0
19796,1325900,87,ONLINE/THETA-0.0
19238,787785,89,ONLINE/THETA-0.0
13878,290085,91,ONLINE/THETA-0.0
9461,440133,92,ONLINE/THETA-0.0
23722,875499,93,ONLINE/THETA-0.0
17353,835839,94,ONLINE/THETA-0.0
12271,229892,96,ONLINE/THETA-0.0
15323,1019790,97,ONLINE/THETA-0.0
19915,925506,98,ONLINE/THETA-0.0
25810,345682,99,ONLINE/THETA-0.0
90699,4150507,88,ONLINE/THETA-0.0
13620,591832,90,ONLINE/THETA-0.0
14966,776940,01,ONLINE/THETA-0.0
16420,744733,02,ONLINE/THETA-0.0
12108,396716,63,ONLINE/THETA-0.0
50932,1877921,64,ONLINE/THETA-0.0
22759,1580457,65,ONLINE/THETA-0.0
27319,951496,66,ONLINE/THETA-0.0
43975,1990171,67,ONLINE/THETA-0.0
11324,545954,03,ONLINE/THETA-0.0
75806,7690373,04,ONLINE/THETA-0.0
30481,1978991,05,ONLINE/THETA-0.0
15381,679540,06,ONLINE/THETA-0.0
23189,948183,07,ONLINE/THETA-0.0
11392,412161,08,ONLINE/THETA-0.0
25381,2405137,09,ONLINE/THETA-0.0
19048,1330943,10,ONLINE/THETA-0.0
43865,3734446,11,ONLINE/THETA-0.0
20858,1090838,12,ONLINE/THETA-0.0
12499,436906,13,ONLINE/THETA-0.0
112932,6821604,14a,ONLINE/THETA-0.0
131120,7723911,14b,ONLINE/THETA-0.0
17296,777570,15,ONLINE/THETA-0.0
20520,1136281,16,ONLINE/THETA-0.0
31791,1515233,17,ONLINE/THETA-0.0
26513,1218870,18,ONLINE/THETA-0.0
14698,529914,19,ONLINE/THETA-0.0
15306,752761,20,ONLINE/THETA-0.0
9027,96814,21,ONLINE/THETA-0.0
9170,217987,22,ONLINE/THETA-0.0
68839,4855895,23a,ONLINE/THETA-0.0
85052,6485781,23b,ONLINE/THETA-0.0
52147,820021,24a,ONLINE/THETA-0.0
26403,810214,24b,ONLINE/THETA-0.0
27709,1711082,25,ONLINE/THETA-0.0
19980,1100762,26,ONLINE/THETA-0.0
13815,534870,27,ONLINE/THETA-0.0
