,optimum,Availability,dataset,theta
332,25,0-shot,sqlstorm,0.0
333,35,0-shot,sqlstorm,0.0
334,3,0-shot,sqlstorm,0.0
335,8,0-shot,sqlstorm,0.0
336,53,0-shot,sqlstorm,0.0
337,0,0-shot,sqlstorm,0.0
338,35,0-shot,sqlstorm,0.0
339,31,0-shot,sqlstorm,0.0
340,36,0-shot,sqlstorm,0.0
341,8,0-shot,sqlstorm,0.0
342,2,0-shot,sqlstorm,0.0
343,14,0-shot,sqlstorm,0.0
344,0,0-shot,sqlstorm,0.0
345,36,0-shot,sqlstorm,0.0
346,41,0-shot,sqlstorm,0.0
347,41,0-shot,sqlstorm,0.0
348,8,0-shot,sqlstorm,0.0
349,14,0-shot,sqlstorm,0.0
350,0,0-shot,sqlstorm,0.0
351,41,0-shot,sqlstorm,0.0
352,41,0-shot,sqlstorm,0.0
353,8,0-shot,sqlstorm,0.0
354,53,0-shot,sqlstorm,0.0
355,0,0-shot,sqlstorm,0.0
356,41,0-shot,sqlstorm,0.0
357,36,0-shot,sqlstorm,0.0
358,0,0-shot,sqlstorm,0.0
359,8,0-shot,sqlstorm,0.0
360,2,0-shot,sqlstorm,0.0
361,14,0-shot,sqlstorm,0.0
362,35,0-shot,sqlstorm,0.0
363,41,0-shot,sqlstorm,0.0
364,35,0-shot,sqlstorm,0.0
365,8,0-shot,sqlstorm,0.0
366,2,0-shot,sqlstorm,0.0
367,14,0-shot,sqlstorm,0.0
368,35,0-shot,sqlstorm,0.0
369,41,0-shot,sqlstorm,0.0
370,35,0-shot,sqlstorm,0.0
371,14,0-shot,sqlstorm,0.0
372,8,0-shot,sqlstorm,0.0
373,2,0-shot,sqlstorm,0.0
374,0,0-shot,sqlstorm,0.0
375,25,0-shot,sqlstorm,0.0
376,36,0-shot,sqlstorm,0.0
377,3,0-shot,sqlstorm,0.0
378,25,0-shot,sqlstorm,0.0
379,0,0-shot,sqlstorm,0.0
380,0,0-shot,sqlstorm,0.0
381,53,0-shot,sqlstorm,0.0
382,53,0-shot,sqlstorm,0.0
383,53,0-shot,sqlstorm,0.0
384,41,0-shot,sqlstorm,0.0
385,0,0-shot,sqlstorm,0.0
386,0,0-shot,sqlstorm,0.0
387,0,0-shot,sqlstorm,0.0
388,53,0-shot,sqlstorm,0.0
389,8,0-shot,sqlstorm,0.0
390,0,0-shot,sqlstorm,0.0
391,32,0-shot,sqlstorm,0.0
392,0,0-shot,sqlstorm,0.0
393,25,0-shot,sqlstorm,0.0
394,0,0-shot,sqlstorm,0.0
395,0,0-shot,sqlstorm,0.0
396,53,0-shot,sqlstorm,0.0
397,42,0-shot,sqlstorm,0.0
398,13,0-shot,sqlstorm,0.0
399,0,0-shot,sqlstorm,0.0
400,41,0-shot,sqlstorm,0.0
401,34,0-shot,sqlstorm,0.0
402,0,0-shot,sqlstorm,0.0
403,0,0-shot,sqlstorm,0.0
404,14,0-shot,sqlstorm,0.0
405,0,0-shot,sqlstorm,0.0
406,0,0-shot,sqlstorm,0.0
407,14,0-shot,sqlstorm,0.0
408,53,0-shot,sqlstorm,0.0
