Perf.,Cost,Query,Type
22867,648515,10182,ONLINE/THETA-0.0
25798,760447,10371,ONLINE/THETA-0.0
27325,807579,11037,ONLINE/THETA-0.0
27546,813352,11062,ONLINE/THETA-0.0
380,4746,11842,ONLINE/THETA-0.0
22283,601132,11896,ONLINE/THETA-0.0
26531,783288,12302,ONLINE/THETA-0.0
3785,39203,12363,ONLINE/THETA-0.0
22372,597362,13154,ONLINE/THETA-0.0
6363,242480,13206,ONLINE/THETA-0.0
11831,369992,13218,ONLINE/THETA-0.0
26412,850558,13768,ONLINE/THETA-0.0
22280,582579,14206,ONLINE/THETA-0.0
9461,339487,14658,ONLINE/THETA-0.0
21682,639587,14757,ONLINE/THETA-0.0
22009,633314,16000,ONLINE/THETA-0.0
19881,385957,20676,ONLINE/THETA-0.0
20581,1288268,22052,ONLINE/THETA-0.0
5529,234711,22740,ONLINE/THETA-0.0
16986,570846,22931,ONLINE/THETA-0.0
27217,701034,23239,ONLINE/THETA-0.0
3799,23176,25216,ONLINE/THETA-0.0
11640,433786,25456,ONLINE/THETA-0.0
3763,36701,25686,ONLINE/THETA-0.0
5499,195806,25906,ONLINE/THETA-0.0
7013,258635,26209,ONLINE/THETA-0.0
6432,213089,27434,ONLINE/THETA-0.0
11804,388119,27479,ONLINE/THETA-0.0
5555,207893,27657,ONLINE/THETA-0.0
8196,162113,28943,ONLINE/THETA-0.0
13095,711894,29145,ONLINE/THETA-0.0
4240,97086,29345,ONLINE/THETA-0.0
5142,26676,29509,ONLINE/THETA-0.0
9292,360144,29583,ONLINE/THETA-0.0
31071,1628182,3046,ONLINE/THETA-0.25
179140,1269285,3053,ONLINE/THETA-0.25
4255,113952,3066,ONLINE/THETA-0.25
6879,130970,3100,ONLINE/THETA-0.25
94208,3736952,3158,ONLINE/THETA-0.25
26355,1030737,3177,ONLINE/THETA-0.25
28258,608262,3196,ONLINE/THETA-0.25
10660,245667,3201,ONLINE/THETA-0.25
12843,343982,3279,ONLINE/THETA-0.25
20299,970876,3349,ONLINE/THETA-0.25
12479,496897,3383,ONLINE/THETA-0.25
7940,183813,3384,ONLINE/THETA-0.25
16529,542164,3387,ONLINE/THETA-0.25
16031,600726,3407,ONLINE/THETA-0.25
5471,120936,4667,ONLINE/THETA-0.25
660,0,5165,ONLINE/THETA-0.25
5390,164978,5222,ONLINE/THETA-0.25
1436,0,5520,ONLINE/THETA-0.25
18350,649712,7618,ONLINE/THETA-0.25
14247,560546,9055,ONLINE/THETA-0.25
11599,430616,9635,ONLINE/THETA-0.25
15784,299216,10053,ONLINE/THETA-0.25
22335,592829,10152,ONLINE/THETA-0.25
22990,649970,10182,ONLINE/THETA-0.25
26151,757743,10371,ONLINE/THETA-0.25
27134,790956,11037,ONLINE/THETA-0.25
23987,665909,11062,ONLINE/THETA-0.25
398,2940,11842,ONLINE/THETA-0.25
23316,627258,11896,ONLINE/THETA-0.25
27287,800232,12302,ONLINE/THETA-0.25
3457,42769,12363,ONLINE/THETA-0.25
22341,592953,13154,ONLINE/THETA-0.25
6123,197504,13206,ONLINE/THETA-0.25
11991,334411,13218,ONLINE/THETA-0.25
26942,781639,13768,ONLINE/THETA-0.25
25945,734812,14206,ONLINE/THETA-0.25
9654,330909,14658,ONLINE/THETA-0.25
21913,636963,14757,ONLINE/THETA-0.25
21979,629033,16000,ONLINE/THETA-0.25
20117,372627,20676,ONLINE/THETA-0.25
17610,1000072,22052,ONLINE/THETA-0.25
6876,182638,22740,ONLINE/THETA-0.25
17386,572314,22931,ONLINE/THETA-0.25
27967,677711,23239,ONLINE/THETA-0.25
3552,17016,25216,ONLINE/THETA-0.25
24822,1040167,3,ONLINE/THETA-0.25
13427,308359,25,ONLINE/THETA-0.25
18611,586769,29,ONLINE/THETA-0.25
19802,923882,283,ONLINE/THETA-0.25
12880,619593,531,ONLINE/THETA-0.25
7476,135382,25,ONLINE/THETA-0.25
12969,394609,29,ONLINE/THETA-0.25
76794,907132,296,ONLINE/THETA-0.25
15594,565566,355,ONLINE/THETA-0.25
18083,481890,377,ONLINE/THETA-0.25
14139,570611,387,ONLINE/THETA-0.25
18006,763095,406,ONLINE/THETA-0.25
18372,408391,423,ONLINE/THETA-0.25
9486,267246,429,ONLINE/THETA-0.25
27357,977398,523,ONLINE/THETA-0.25
9242,345667,557,ONLINE/THETA-0.25
13641,482272,657,ONLINE/THETA-0.25
30870,1341740,641,ONLINE/THETA-0.25
8721,439406,726,ONLINE/THETA-0.25
30252,385890,749,ONLINE/THETA-0.25
10004,438462,832,ONLINE/THETA-0.25
11892,232111,843,ONLINE/THETA-0.25
4733,107479,1065,ONLINE/THETA-0.25
14395,501991,1142,ONLINE/THETA-0.25
16155,603804,1204,ONLINE/THETA-0.25
17550,899776,1223,ONLINE/THETA-0.25
44843,470509,1282,ONLINE/THETA-0.25
84944,2757336,1296,ONLINE/THETA-0.25
5646,136879,1501,ONLINE/THETA-0.25
7184,188977,1517,ONLINE/THETA-0.25
12190,609121,1645,ONLINE/THETA-0.25
10606,522073,1650,ONLINE/THETA-0.25
20771,813009,2026,ONLINE/THETA-0.25
27405,842085,2107,ONLINE/THETA-0.25
10649,414142,2057,ONLINE/THETA-0.25
3260,59531,2103,ONLINE/THETA-0.25
17468,435599,2112,ONLINE/THETA-0.25
34771,1013060,2179,ONLINE/THETA-0.25
38224,873797,3020,ONLINE/THETA-0.25
29993,660625,25456,ONLINE/THETA-0.25
6483,70651,25686,ONLINE/THETA-0.25
11032,323973,25906,ONLINE/THETA-0.25
14896,506457,26209,ONLINE/THETA-0.25
13651,402678,27434,ONLINE/THETA-0.25
16151,331476,27479,ONLINE/THETA-0.25
6479,99716,27657,ONLINE/THETA-0.25
13346,191851,28943,ONLINE/THETA-0.25
21084,757655,29145,ONLINE/THETA-0.25
5473,112780,29345,ONLINE/THETA-0.25
5559,39536,29509,ONLINE/THETA-0.25
11527,441552,29583,ONLINE/THETA-0.25
33341,729249,25456,ONLINE/THETA-0.25
6891,76380,25686,ONLINE/THETA-0.25
13647,384544,25906,ONLINE/THETA-0.25
14630,534817,26209,ONLINE/THETA-0.25
15730,508260,27434,ONLINE/THETA-0.25
15114,465739,27479,ONLINE/THETA-0.25
5705,128499,27657,ONLINE/THETA-0.25
12373,244048,28943,ONLINE/THETA-0.25
16117,654285,29145,ONLINE/THETA-0.25
5170,97719,29345,ONLINE/THETA-0.25
5529,26819,29509,ONLINE/THETA-0.25
10463,372268,29583,ONLINE/THETA-0.25
31958,1578243,3046,ONLINE/THETA-0.25
185637,1449593,3053,ONLINE/THETA-0.25
3923,101297,3066,ONLINE/THETA-0.25
7365,100644,3100,ONLINE/THETA-0.25
94525,3769964,3158,ONLINE/THETA-0.25
26415,1065223,3177,ONLINE/THETA-0.25
28695,495228,3196,ONLINE/THETA-0.25
10455,262597,3201,ONLINE/THETA-0.25
8440,264758,3279,ONLINE/THETA-0.25
19785,1118966,3349,ONLINE/THETA-0.25
13977,531124,3383,ONLINE/THETA-0.25
7356,162569,3384,ONLINE/THETA-0.25
15005,500971,3387,ONLINE/THETA-0.25
17228,672050,3407,ONLINE/THETA-0.25
5103,111700,4667,ONLINE/THETA-0.25
651,686,5165,ONLINE/THETA-0.25
5082,146592,5222,ONLINE/THETA-0.25
1449,0,5520,ONLINE/THETA-0.25
21031,613788,7618,ONLINE/THETA-0.25
12757,474553,9055,ONLINE/THETA-0.25
44375,419677,9635,ONLINE/THETA-0.25
